Zeit;Kanal A;Kanal B
(ms);(V);(V)

-3,60686756;0,00000000;-0,13871801
-3,59093956;0,00000000;-0,12137057
-3,57501156;0,00000000;-0,06932825
-3,55908356;0,00000000;-0,01728592
-3,54315556;0,00000000;0,05198081
-3,52722756;0,00000000;0,10402313
-3,51129956;0,00000000;0,12137057
-3,49537157;0,00000000;0,10402313
-3,47944357;0,00000000;0,05198081
-3,46351557;0,00000000;0,00000000
-3,44758757;0,00000000;-0,05198081
-3,43165957;0,00000000;-0,10402313
-3,41573157;0,00000000;-0,10402313
-3,39980357;0,00000000;-0,08667569
-3,38387557;0,00000000;-0,03463336
-3,36794757;0,00000000;0,01728592
-3,35201958;0,00000000;0,06932825
-3,33609158;0,00000000;0,08667569
-3,32016358;0,00000000;0,10402313
-3,30423558;0,00000000;0,06932825
-3,28830758;0,00000000;0,03463336
-3,27237958;0,00000000;-0,01728592
-3,25645158;0,00000000;-0,05198081
-3,24052358;0,00000000;-0,08667569
-3,22459558;0,00000000;-0,08667569
-3,20866759;0,00000000;-0,05198081
-3,19273959;0,00000000;-0,01728592
-3,17681159;0,00000000;0,03463336
-3,16088359;0,00000000;0,06932825
-3,14495559;0,00000000;0,06932825
-3,12902759;0,00000000;0,06932825
-3,11309959;0,00000000;0,05198081
-3,09717159;0,00000000;0,01728592
-3,08124359;0,00000000;-0,03463336
-3,06531559;0,00000000;-0,05198081
-3,04938760;0,00000000;-0,06932825
-3,03345960;0,00000000;-0,05198081
-3,01753160;0,00000000;-0,01728592
-3,00160360;0,00000000;0,00000000
-2,98567560;0,00000000;0,03463336
-2,96974760;0,00000000;0,05198081
-2,95381960;0,00000000;0,05198081
-2,93789160;0,00000000;0,05198081
-2,92196360;0,00000000;0,01728592
-2,90603561;0,00000000;0,00000000
-2,89010761;0,00000000;-0,03463336
-2,87417961;0,00000000;-0,05198081
-2,85825161;0,00000000;-0,05198081
-2,84232361;0,00000000;-0,03463336
-2,82639561;0,00000000;-0,01728592
-2,81046761;0,00000000;0,01728592
-2,79453961;0,00000000;0,03463336
-2,77861161;0,00000000;0,05198081
-2,76268362;0,00000000;0,05198081
-2,74675562;0,00000000;0,03463336
-2,73082762;0,00000000;0,01728592
-2,71489962;0,00000000;-0,01728592
-2,69897162;0,00000000;-0,01728592
-2,68304362;0,00000000;-0,03463336
-2,66711562;0,00000000;-0,03463336
-2,65118762;0,00000000;-0,01728592
-2,63525962;0,00000000;0,00000000
-2,61933163;0,00000000;0,01728592
-2,60340363;0,00000000;0,03463336
-2,58747563;0,00000000;0,03463336
-2,57154763;0,00000000;0,03463336
-2,55561963;0,00000000;0,01728592
-2,53969163;0,00000000;0,00000000
-2,52376363;0,00000000;-0,01728592
-2,50783563;0,00000000;-0,03463336
-2,49190763;0,00000000;-0,03463336
-2,47597964;0,00000000;-0,01728592
-2,46005164;0,00000000;-0,01728592
-2,44412364;0,00000000;0,00000000
-2,42819564;0,00000000;0,01728592
-2,41226764;0,00000000;0,03463336
-2,39633964;0,00000000;0,01728592
-2,38041164;0,00000000;0,01728592
-2,36448364;0,00000000;0,00000000
-2,34855564;0,00000000;0,00000000
-2,33262765;0,00000000;-0,01728592
-2,31669965;0,00000000;-0,01728592
-2,30077165;0,00000000;-0,01728592
-2,28484365;0,00000000;-0,01728592
-2,26891565;0,00000000;0,00000000
-2,25298765;0,00000000;0,01728592
-2,23705965;0,00000000;0,01728592
-2,22113165;0,00000000;0,01728592
-2,20520365;0,00000000;0,01728592
-2,18927566;0,00000000;0,01728592
-2,17334766;0,00000000;0,00000000
-2,15741966;0,00000000;0,00000000
-2,14149166;0,00000000;-0,01728592
-2,12556366;0,00000000;-0,01728592
-2,10963566;0,00000000;-0,01728592
-2,09370766;0,00000000;-0,01728592
-2,07777966;0,00000000;0,00000000
-2,06185166;0,00000000;0,00000000
-2,04592367;0,00000000;0,01728592
-2,02999567;0,00000000;0,01728592
-2,01406767;0,00000000;0,00000000
-1,99813967;0,00000000;0,00000000
-1,98221167;0,00000000;0,00000000
-1,96628367;0,00000000;-0,01728592
-1,95035567;0,00000000;-0,01728592
-1,93442767;0,00000000;-0,01728592
-1,91849967;0,00000000;-0,01728592
-1,90257168;0,00000000;0,00000000
-1,88664368;0,00000000;0,00000000
-1,87071568;0,00000000;0,01728592
-1,85478768;0,00000000;0,01728592
-1,83885968;0,00000000;0,00000000
-1,82293168;0,00000000;0,01728592
-1,80700368;0,00000000;0,00000000
-1,79107568;0,00000000;0,00000000
-1,77514768;0,00000000;0,00000000
-1,75921969;0,00000000;-0,01728592
-1,74329169;0,00000000;0,00000000
-1,72736369;0,00000000;0,00000000
-1,71143569;0,00000000;0,00000000
-1,69550769;0,00000000;0,00000000
-1,67957969;0,00000000;0,01728592
-1,66365169;0,00000000;0,01728592
-1,64772369;0,00000000;0,01728592
-1,63179569;0,00000000;0,00000000
-1,61586769;0,00000000;0,00000000
-1,59993970;0,00000000;0,00000000
-1,58401170;0,00000000;0,00000000
-1,56808370;0,00000000;-0,01728592
-1,55215570;0,00000000;0,00000000
-1,53622770;0,00000000;0,00000000
-1,52029970;0,00000000;0,00000000
-1,50437170;0,00000000;0,00000000
-1,48844370;0,00000000;0,00000000
-1,47251570;0,00000000;0,00000000
-1,45658771;0,00000000;0,01728592
-1,44065971;0,00000000;0,00000000
-1,42473171;0,00000000;0,00000000
-1,40880371;0,00000000;0,00000000
-1,39287571;0,00000000;0,00000000
-1,37694771;0,00000000;0,00000000
-1,36101971;0,00000000;0,00000000
-1,34509171;0,00000000;0,00000000
-1,32916371;0,00000000;0,00000000
-1,31323572;0,00000000;0,00000000
-1,29730772;0,00000000;0,00000000
-1,28137972;0,00000000;0,00000000
-1,26545172;0,00000000;0,00000000
-1,24952372;0,00000000;0,00000000
-1,23359572;0,00000000;0,00000000
-1,21766772;0,00000000;0,00000000
-1,20173972;0,00000000;0,00000000
-1,18581172;0,00000000;0,00000000
-1,16988373;0,00000000;0,00000000
-1,15395573;0,00000000;0,00000000
-1,13802773;0,00000000;0,00000000
-1,12209973;0,00000000;0,00000000
-1,10617173;0,00000000;0,00000000
-1,09024373;0,00000000;0,00000000
-1,07431573;0,00000000;0,00000000
-1,05838773;0,00000000;0,00000000
-1,04245973;0,00000000;0,00000000
-1,02653174;0,00000000;0,00000000
-1,01060374;0,00000000;0,00000000
-0,99467574;0,00000000;0,00000000
-0,97874774;0,00000000;0,00000000
-0,96281974;0,00000000;0,00000000
-0,94689174;0,00000000;0,00000000
-0,93096374;0,00000000;0,01728592
-0,91503574;0,00000000;0,00000000
-0,89910774;0,00000000;0,00000000
-0,88317975;0,00000000;0,00000000
-0,86725175;0,00000000;0,00000000
-0,85132375;0,00000000;0,00000000
-0,83539575;0,00000000;0,00000000
-0,81946775;0,00000000;0,00000000
-0,80353975;0,00000000;0,00000000
-0,78761175;0,00000000;0,00000000
-0,77168375;0,00000000;0,00000000
-0,75575575;0,00000000;0,00000000
-0,73982776;0,00000000;0,00000000
-0,72389976;0,00000000;0,00000000
-0,70797176;0,00000000;0,00000000
-0,69204376;0,00000000;0,00000000
-0,67611576;0,00000000;0,00000000
-0,66018776;0,00000000;0,00000000
-0,64425976;0,00000000;0,00000000
-0,62833176;0,00000000;0,00000000
-0,61240376;0,00000000;0,00000000
-0,59647577;0,00000000;0,00000000
-0,58054777;0,00000000;0,00000000
-0,56461977;0,00000000;0,00000000
-0,54869177;0,00000000;0,00000000
-0,53276377;0,00000000;0,00000000
-0,51683577;0,00000000;0,00000000
-0,50090777;0,00000000;0,00000000
-0,48497977;0,00000000;0,00000000
-0,46905177;0,00000000;0,00000000
-0,45312378;0,00000000;0,00000000
-0,43719578;0,00000000;0,00000000
-0,42126778;0,00000000;0,00000000
-0,40533978;0,00000000;0,00000000
-0,38941178;0,00000000;0,00000000
-0,37348378;0,00000000;0,00000000
-0,35755578;0,00000000;0,00000000
-0,34162778;0,00000000;0,00000000
-0,32569978;0,00000000;0,00000000
-0,30977178;0,00000000;0,00000000
-0,29384379;0,00000000;0,00000000
-0,27791579;0,00000000;0,00000000
-0,26198779;0,00000000;0,00000000
-0,24605979;0,00000000;0,00000000
-0,23013179;0,00000000;0,00000000
-0,21420379;0,00000000;0,00000000
-0,19827579;0,00000000;0,00000000
-0,18234779;0,00000000;0,00000000
-0,16641979;0,00000000;0,00000000
-0,15049180;0,00000000;0,00000000
-0,13456380;0,00000000;0,00000000
-0,11863580;0,00000000;0,00000000
-0,10270780;0,00000000;0,00000000
-0,08677980;0,00000000;0,00000000
-0,07085180;0,00000000;0,00000000
-0,05492380;0,00000000;0,00000000
-0,03899580;0,00000000;0,00000000
-0,02306780;0,00000000;0,00000000
-0,00713981;0,00000000;0,00000000
0,00878819;1,02036166;0,05198081
0,02471619;1,02036166;0,32953987
0,04064419;1,02036166;0,79785925
0,05657219;1,02036166;1,30093503
